seconds,data
float,int
,
1.1944375,73
1.1945,72
1.1945625,73
1.194625,74
1.1946875,73
1.19475,73
1.1948125,72
1.194875,73
1.1949375,70
1.195,71
1.1950625,73
1.195125,73
1.1951875,75
1.19525,77
1.1953125,82
1.195375,85
1.1954375,91
1.1955,100
1.1955625,101
1.195625,109
1.1956875,109
1.19575,125
1.1958125,122
1.195875,109
1.1959375,121
1.196,100
1.1960625,96
1.196125,86
1.1961875,82
1.19625,77
1.1963125,73
1.196375,71
1.1964375,68
1.1965,67
1.1965625,66
1.196625,65
1.1966875,65
1.19675,67
1.1968125,68
1.196875,74
1.1969375,82
1.197,93
1.1970625,134
1.197125,166
1.1971875,180
1.19725,188
1.1973125,193
1.197375,198
1.1974375,200
1.1975,202
1.1975625,203
1.197625,203
1.1976875,203
1.19775,203
1.1978125,202
1.197875,199
1.1979375,196
1.198,193
1.1980625,189
1.198125,184
1.1981875,176
1.19825,170
1.1983125,156
1.198375,126
1.1984375,106
1.1985,95
1.1985625,88
1.198625,82
1.1986875,81
1.19875,78
1.1988125,74
1.198875,72
1.1989375,72
1.199,70
1.1990625,68
1.199125,68
1.1991875,68
1.19925,67
1.1993125,67
1.199375,67
1.1994375,67
1.1995,67
1.1995625,69
1.199625,74
1.1996875,79
1.19975,86
1.1998125,107
1.199875,143
1.1999375,163
1.2,173
1.2000625,180
1.200125,185
1.2001875,188
1.20025,191
1.2003125,192
1.200375,193
1.2004375,192
1.2005,192
1.2005625,189
1.200625,186
1.2006875,182
1.20075,176
1.2008125,168
1.200875,155
1.2009375,130
1.201,102
1.2010625,92
1.201125,88
1.2011875,85
1.20125,83
1.2013125,83
1.201375,82
1.2014375,81
1.2015,81
1.2015625,82
1.201625,81
1.2016875,82
1.20175,81
1.2018125,79
1.201875,77
1.2019375,76
1.202,74
1.2020625,74
1.202125,73
1.2021875,74
1.20225,75
1.2023125,77
1.202375,81
1.2024375,88
1.2025,98
1.2025625,122
1.202625,154
1.2026875,166
1.20275,172
1.2028125,179
1.202875,182
1.2029375,184
1.203,187
1.2030625,188
1.203125,187
1.2031875,189
1.20325,186
1.2033125,185
1.203375,183
1.2034375,179
1.2035,177
1.2035625,167
1.203625,163
1.2036875,157
1.20375,138
1.2038125,140
1.203875,115
1.2039375,105
1.204,97
1.2040625,92
1.204125,90
1.2041875,82
1.20425,80
1.2043125,78
1.204375,75
1.2044375,72
1.2045,73
1.2045625,71
1.204625,70
1.2046875,70
1.20475,70
1.2048125,71
1.204875,72
1.2049375,74
1.205,78
1.2050625,80
1.205125,86
1.2051875,93
1.20525,98
1.2053125,108
1.205375,120
1.2054375,129
1.2055,137
1.2055625,136
1.205625,143
1.2056875,135
1.20575,118
1.2058125,118
1.205875,105
1.2059375,100
1.206,93
1.2060625,87
1.206125,84
1.2061875,79
1.20625,77
1.2063125,76
1.206375,74
1.2064375,72
1.2065,72
1.2065625,72
1.206625,73
1.2066875,73
1.20675,79
1.2068125,86
1.206875,86
1.2069375,115
1.207,155
1.2070625,169
1.207125,180
1.2071875,186
1.20725,192
1.2073125,194
1.207375,196
1.2074375,199
1.2075,199
1.2075625,199
1.207625,199
1.2076875,199
1.20775,196
1.2078125,194
1.207875,192
1.2079375,188
1.208,182
1.2080625,176
1.208125,171
1.2081875,154
1.20825,126
1.2083125,114
1.208375,100
1.2084375,89
1.2085,89
1.2085625,89
1.208625,86
1.2086875,81
1.20875,82
1.2088125,82
1.208875,77
1.2089375,76
1.209,77
1.2090625,75
1.209125,73
1.2091875,73
1.20925,74
1.2093125,73
1.209375,73
1.2094375,76
1.2095,77
1.2095625,80
1.209625,88
1.2096875,100
1.20975,122
1.2098125,150
1.209875,166
1.2099375,174
1.21,177
1.2100625,181
1.210125,185
1.2101875,185
1.21025,185
1.2103125,186
1.210375,186
1.2104375,185
1.2105,184
1.2105625,182
1.210625,180
1.2106875,174
1.21075,169
1.2108125,162
1.210875,149
1.2109375,128
1.211,109
1.2110625,101
1.211125,94
1.2111875,90
1.21125,87
1.2113125,84
1.211375,81
1.2114375,80
1.2115,78
1.2115625,78
1.211625,78
1.2116875,77
1.21175,78
1.2118125,78
1.211875,77
1.2119375,78
1.212,80
1.2120625,81
1.212125,85
1.2121875,89
1.21225,95
1.2123125,101
1.212375,102
1.2124375,118
1.2125,134
1.2125625,147
1.212625,158
1.2126875,163
1.21275,167
1.2128125,169
1.212875,171
1.2129375,174
1.213,175
1.2130625,177
1.213125,177
1.2131875,177
1.21325,179
1.2133125,175
1.213375,176
1.2134375,173
1.2135,167
1.2135625,167
1.213625,158
1.2136875,154
1.21375,141
1.2138125,111
1.213875,105
1.2139375,91
1.214,89
1.2140625,84
1.214125,80
1.2141875,79
1.21425,76
1.2143125,76
1.214375,73
1.2144375,73
1.2145,74
1.2145625,73
1.214625,74
1.2146875,75
1.21475,78
1.2148125,79
1.214875,82
1.2149375,87
1.215,94
1.2150625,97
1.215125,104
1.2151875,119
1.21525,120
1.2153125,131
1.215375,141
1.2154375,145
1.2155,150
1.2155625,154
1.215625,157
1.2156875,156
1.21575,151
1.2158125,152
1.215875,147
1.2159375,132
1.216,122
1.2160625,110
1.216125,100
1.2161875,93
1.21625,90
1.2163125,88
1.216375,83
1.2164375,80
1.2165,77
1.2165625,75
1.216625,73
1.2166875,72
1.21675,71
1.2168125,70
1.216875,71
1.2169375,70
1.217,70
1.2170625,71
1.217125,71
1.2171875,73
1.21725,79
1.2173125,81
1.217375,92
1.2174375,117
1.2175,150
1.2175625,168
1.217625,178
1.2176875,186
1.21775,190
1.2178125,193
1.217875,196
1.2179375,198
1.218,198
1.2180625,198
1.218125,197
1.2181875,195
1.21825,194
1.2183125,192
1.218375,189
1.2184375,184
1.2185,178
1.2185625,172
1.218625,158
1.2186875,136
1.21875,124
1.2188125,108
1.218875,97
1.2189375,93
1.219,94
1.2190625,93
1.219125,91
1.2191875,94
1.21925,102
1.2193125,97
1.219375,97
1.2194375,96
1.2195,94
1.2195625,88
1.219625,86
1.2196875,87
1.21975,83
1.2198125,81
1.219875,82
1.2199375,82
1.22,81
1.2200625,83
1.220125,86
1.2201875,90
1.22025,94
1.2203125,107
1.220375,138
1.2204375,153
1.2205,164
1.2205625,173
1.220625,177
1.2206875,178
