1267,  43183,  completed,  eof,  2018-09-18 04:25:59,  2018-09-18 04:27:20,  81,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0104270083365.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_101,  4000,  9,  12,  1,  0.0104270083365,  101,  0.1,  6.79004986472,  5.3704303152, 
1267,  43184,  completed,  eof,  2018-09-18 04:26:13,  2018-09-18 04:27:31,  78,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00136634013518.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_58,  4000,  9,  12,  1,  0.00136634013518,  58,  0.1,  6.85786489042,  5.42406701554, 
1267,  43185,  completed,  eof,  2018-09-18 04:26:17,  2018-09-18 04:27:38,  81,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0131088457044.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_108,  4000,  10,  12,  1,  0.0131088457044,  108,  0.1,  6.29673400504,  4.98025373321, 
1267,  43186,  completed,  killed,  2018-09-18 04:26:49,  2018-09-18 04:27:38,  49,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00132116936203.modelParams|spParams|synPermInactiveDec_0.0985519031682.modelParams|sensorParams|encoders|data:n_51,  2550,  9,  12,  1,  0.00132116936203,  51,  0.0985519031682,  8.30483282325,  6.57688723896, 
1267,  43187,  completed,  killed,  2018-09-18 04:26:56,  2018-09-18 04:27:38,  42,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00236332677407.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_67,  2100,  9,  12,  1,  0.00236332677407,  67,  0.1,  7.47626368164,  5.91490595634, 
1267,  43188,  completed,  killed,  2018-09-18 04:26:57,  2018-09-18 04:27:38,  41,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.000877767329652.modelParams|spParams|synPermInactiveDec_0.0995366606667.modelParams|sensorParams|encoders|data:n_50,  2100,  9,  12,  1,  0.000877767329652,  50,  0.0995366606667,  3.08374315767,  2.43972812462, 
1267,  43189,  completed,  killed,  2018-09-18 04:27:00,  2018-09-18 04:27:38,  38,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_45,  1950,  9,  12,  1,  0.0001,  45,  0.1,  3.072,  2.43428924618, 
1267,  43190,  completed,  killed,  2018-09-18 04:27:01,  2018-09-18 04:27:38,  37,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00548150515423.modelParams|spParams|synPermInactiveDec_0.0938383492833.modelParams|sensorParams|encoders|data:n_22,  2000,  9,  12,  1,  0.00548150515423,  22,  0.0938383492833,  6.16443694004,  4.89147855967, 
1267,  43191,  completed,  killed,  2018-09-18 04:27:20,  2018-09-18 04:27:38,  18,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00355610091581.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_55,  850,  9,  12,  1,  0.00355610091581,  55,  0.1,  4.32770754079,  3.48436087789, 
1267,  43192,  completed,  killed,  2018-09-18 04:27:32,  2018-09-18 04:27:38,  6,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0027380620477.modelParams|spParams|synPermInactiveDec_0.1.modelParams|sensorParams|encoders|data:n_47,  250,  9,  12,  1,  0.0027380620477,  47,  0.1,  1.96737570221,  1.66200695454, 
